"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WDSUB1",0.0184387705892926,-0.688882575693031,0.072,0.182,1
"GMPS",0.0184589821379099,-0.539497642372693,0.108,0.242,1
"ETFB",0.0184659117005313,-0.499835539039914,0.036,0.121,1
"TRIM11",0.0184659117005313,-0.622648649509143,0.036,0.121,1
"NELFA",0.0184880520197455,-0.305774459096626,0.096,0.227,1
"PACS2",0.0185237564076678,-0.717352941020514,0.054,0.152,1
"WBP1L",0.0185237564076678,-1.06251983150648,0.054,0.152,1
"DDB1",0.0185860727939188,-0.700047503559115,0.223,0.409,1
"CTBP1",0.0186041482193477,-0.302599121285474,0.241,0.455,1
"MKNK1",0.0186693032449984,-1.0392902805954,0.096,0.212,1
"LINC00665",0.01869483032058,0.204554868446776,0.078,0.197,1
"ABHD14A",0.018728694079287,-0.591562329976388,0.036,0.121,1
"CTSZ",0.018740001639368,-0.190402653559902,0.199,0.394,1
"TIRAP-AS1",0.0187650126756797,-1.80236755999962,0.03,0.106,1
"FHIT",0.0187855765923509,-1.64082509343684,0.084,0.197,1
"PGAM5",0.0188151277382069,-0.742778375294533,0.09,0.212,1
"EFHD2",0.0188809641813073,-0.3286426663685,0.235,0.424,1
"ANKRD46",0.018894698023073,-0.488959839229275,0.078,0.197,1
"DCTPP1",0.0189947419637674,-0.830080561110426,0.036,0.121,1
"ENSG00000291215",0.0189947419637674,-1.02259885034876,0.036,0.121,1
"GCFC2",0.0189947419637674,-0.631162957494059,0.036,0.121,1
"ADCK2",0.0190517364551845,-1.48733795979092,0.03,0.106,1
"SNUPN",0.0190517364551845,-1.79959137764924,0.03,0.106,1
"KLHL5",0.0190751150962589,2.00346465183794,0.247,0.121,1
"NAAA",0.0191045535885714,-0.426758749079478,0.157,0.303,1
"E2F3",0.0191821663561685,-1.06425754938533,0.084,0.197,1
"UBA6-DT",0.0191999365823198,-0.87299810828841,0.09,0.212,1
"FBXL12",0.0192640884997713,-0.641145131691467,0.036,0.121,1
"COPS9",0.0192798601399584,-0.718648184110373,0.145,0.288,1
"NUP85",0.0192915076962313,-0.10360680637632,0.114,0.258,1
"DRAP1",0.0193154084711456,-0.456848160041245,0.187,0.364,1
"ENSG00000273448",0.0193422832021382,-1.82070008920101,0.03,0.106,1
"EFCAB13",0.0194132354369142,3.17662947105235,0.151,0.045,1
"MARCHF3",0.0194132354369142,3.64397059283132,0.151,0.045,1
"H4C3",0.0194284460154384,-0.226405750541988,0.259,0.485,1
"UBA52",0.0194435935017037,-0.259526919437898,0.886,0.985,1
"MRPL40",0.0194526582284735,-0.901918786117968,0.054,0.152,1
"PLPBP",0.0194655220758184,-0.119040505825013,0.205,0.379,1
"RNF20",0.0194661190715982,-0.751595864175157,0.102,0.227,1
"SIGLEC6",0.0194820473179266,-0.447277204079323,0.072,0.182,1
"ZCCHC8",0.0195244213387504,-0.438682659716698,0.12,0.258,1
"COX7A2",0.0196135355064926,-0.266893368464685,0.199,0.394,1
"CALCOCO2",0.0196299441420833,0.170932654070404,0.229,0.455,1
"SUPT3H",0.0196354122020067,-0.894414800973991,0.066,0.167,1
"AGPAT1",0.0196911476629783,-1.06617233924101,0.054,0.152,1
"MED7",0.0196911476629783,-0.751973372133512,0.054,0.152,1
"UROD",0.0196911476629783,-0.575298020129504,0.054,0.152,1
"CD27",0.0197574389719623,4.12971892168109,0.078,0,1
"ENSG00000253690",0.0197574389719623,4.35021011182575,0.078,0,1
"IGHG2",0.0197574389719623,3.94410464434243,0.078,0,1
"LARGE2",0.0197574389719623,4.78037084076029,0.078,0,1
"NT5E",0.0197574389719623,4.62964553589076,0.078,0,1
"PEG10",0.0197574389719623,4.70759580840187,0.078,0,1
"RGMB",0.0197574389719623,4.33386884539782,0.078,0,1
"SYTL1",0.0197574389719623,4.37273405011108,0.078,0,1
"OGFOD1",0.0197729971368169,-0.557116600910539,0.133,0.273,1
"FARSA",0.0197900459809121,-0.476980787451023,0.09,0.212,1
"GRHPR",0.0198602762657782,-1.21006554748329,0.066,0.167,1
"GLE1",0.0199135830829171,-0.734397005713627,0.072,0.182,1
"PTPN9",0.019932186618043,-0.764492549297958,0.054,0.152,1
"LINC00174",0.0199350122073937,-1.23376321953012,0.03,0.106,1
"ZDHHC16",0.0199350122073937,-1.46205547291171,0.03,0.106,1
"EP400",0.0200242697268389,-0.640717029346647,0.114,0.242,1
"IFI16",0.0200643793149867,0.69927267342507,0.687,0.788,1
"DRD4",0.0200663548321049,-1.59175062634392,0.048,0.136,1
"STAMBP",0.0200722124406337,-0.37469746804528,0.127,0.273,1
"PARP4",0.0201322649515951,-0.49585966839991,0.223,0.394,1
"SLC25A33",0.0201324633193357,-0.861718789845835,0.072,0.182,1
"FBXL5",0.0201731179666225,-0.403432373015233,0.151,0.303,1
"MRPL52",0.0202154632962563,-0.531391935166323,0.205,0.379,1
"EARS2",0.0202372785319123,-1.65917748025157,0.03,0.106,1
"GID4",0.0202372785319123,-1.34959730542641,0.03,0.106,1
"TTC3",0.0202476497868628,-0.222798902951637,0.476,0.727,1
"SMU1",0.0203319693865644,0.13829788579531,0.193,0.379,1
"PREX1",0.0203674170345703,-0.187084188602331,0.265,0.485,1
"ZNF500",0.0203751320475234,-0.169242082518656,0.036,0.121,1
"PYHIN1",0.0204308770016632,3.07258429791582,0.151,0.045,1
"SSH2",0.0204924952437226,1.55757300552214,0.488,0.439,1
"CARD16",0.020500136154254,-0.154237154770993,0.133,0.288,1
"NRDE2",0.0205435359562965,-0.347486443991204,0.03,0.106,1
"C19orf53",0.0205767831996342,-0.266907479259339,0.253,0.47,1
"HSPB1",0.0205900353354191,-0.219912038566169,0.199,0.379,1
"GALK2",0.0206014569135934,-0.391156828245644,0.09,0.212,1
"PABIR1",0.0206154402669819,-0.665619599494921,0.12,0.258,1
"RGP1",0.0206708231593219,-0.39485806370139,0.054,0.152,1
"SRP68",0.0207351830959375,-0.880262956910002,0.084,0.197,1
"RIC8A",0.0208087866612705,-0.618141606150949,0.09,0.212,1
"ACAD8",0.0209222833955661,-0.593750425118762,0.054,0.152,1
"MYO19",0.0209222833955661,0.375484628917989,0.054,0.152,1
"TEFM",0.0209222833955661,-0.898632343492085,0.054,0.152,1
"PPM1M",0.0210186378631653,-1.1516472899464,0.066,0.167,1
"CC2D1B",0.0210243155141024,-0.698249111429564,0.102,0.227,1
"PLRG1",0.0210243155141024,-0.63346372275052,0.102,0.227,1
"ANKRD36B",0.0210291132756456,-0.658009630958747,0.072,0.182,1
"TOMM20",0.0210512504204764,-0.103770471992332,0.337,0.576,1
"LINC02908",0.0211157215765054,-1.19597266949921,0.048,0.136,1
"RIOX1",0.0211157215765054,-1.48527830377284,0.048,0.136,1
"ARHGAP42",0.0211681955880244,-1.53517392215316,0.03,0.106,1
"OXNAD1",0.0211681955880244,-1.79961211380484,0.03,0.106,1
"CD1C",0.0211764053979403,2.38256585844985,0.108,0.015,1
"ARMC1",0.0212078530044726,-0.603624642344753,0.151,0.303,1
"ARL6IP5",0.0212537526224084,-0.288346550044772,0.572,0.773,1
"NONO",0.0213149103412676,-0.375583035061646,0.452,0.773,1
"EIF4G1",0.0213352242695727,-0.301247599317,0.114,0.258,1
"RPS5",0.02137781885029,0.447590660610136,0.867,0.848,1
"HECTD1",0.0214263054632738,-0.128557335777513,0.241,0.439,1
"CDC37",0.0214418741962756,-0.290564206680745,0.229,0.424,1
"TDRD3",0.0214608390790925,-0.799363700472185,0.114,0.242,1
"ANKEF1",0.0214866842981268,-0.709698785678329,0.03,0.106,1
"LINC00205",0.0214866842981268,-1.21062430289253,0.03,0.106,1
"TRABD2A",0.0214866842981268,-1.19170500504514,0.03,0.106,1
"RBL1",0.021490346317557,-0.27399870234296,0.072,0.182,1
"UBE2N",0.0215122886594865,-0.140061868066543,0.259,0.47,1
"EPRS1",0.0215235357931751,-0.185257205727516,0.223,0.409,1
"TMEM65",0.0216563991598412,-0.299119347081851,0.09,0.212,1
"DUSP12",0.0216581071111707,-1.28544045027157,0.048,0.136,1
"SMIM13",0.0216581071111707,-1.29793403336373,0.048,0.136,1
"SDCBP",0.0216588229541025,-0.437314598570395,0.175,0.333,1
"TP53INP1",0.0216649031223651,1.52468048441963,0.301,0.197,1
"ASB1",0.0216927261766347,0.291136903954654,0.054,0.152,1
"ELOA-AS1",0.0216927261766347,-0.292867129749649,0.054,0.152,1
"GSTO1",0.021742342805186,-0.316327995492041,0.151,0.303,1
"GET1",0.0218093371132754,-0.883750811419181,0.03,0.106,1
"RFX3-DT",0.0218102484644723,-0.522715484952007,0.157,0.303,1
"MTIF3",0.0218349030457019,-0.257286833869844,0.38,0.606,1
"HERC4",0.0218820874840367,1.58429122607435,0.247,0.121,1
"DCLK2",0.0219338188913645,-0.979977072408227,0.048,0.136,1
"SNHG20",0.0219549710132619,-0.499957999032533,0.054,0.152,1
"ZDHHC13",0.0219549710132619,-0.636518618846451,0.054,0.152,1
"EHMT2",0.0219603625045067,-0.313364451186458,0.072,0.182,1
"BBX",0.0219724437282347,0.934202653835186,0.584,0.561,1
"ADAM10",0.021998656686945,-0.299962734262063,0.229,0.409,1
"GLB1",0.0220234191528511,-0.342534333451198,0.211,0.379,1
"DDX52",0.0220398527966945,-0.256536904495076,0.169,0.333,1
"PPAT",0.0221361980450967,-0.726452753981991,0.03,0.106,1
"HERC1",0.0221494879388043,-0.298862089988105,0.361,0.621,1
"FRYL",0.0221595933148907,-0.193545535114489,0.277,0.485,1
"MED8",0.0221987064174085,-0.413348200240906,0.072,0.182,1
"ANAPC5",0.0222267325671361,-0.376116039768161,0.289,0.5,1
"EIF4B",0.0222853899131933,0.515099243080095,0.783,0.848,1
"SF3B3",0.0223058281329593,-0.192114910309358,0.217,0.409,1
"CNOT9",0.0223531125078598,-0.598771467852189,0.157,0.303,1
"NSMCE4A",0.0223946752492229,-0.381889101585009,0.157,0.318,1
"MAD2L2",0.0223969044116777,-0.479369554613964,0.084,0.197,1
"SC5D",0.0224448741505483,-0.440805703552517,0.127,0.258,1
"ABTB2",0.0224673114088668,-1.18747768309872,0.03,0.106,1
"POLR1A",0.022487745698531,-0.286689049817687,0.054,0.152,1
"PIP4P2",0.0225523294683414,-0.300179879879504,0.12,0.258,1
"DHX8",0.0225622440603953,3.85335643779557,0.127,0.03,1
"RRP36",0.0225725330719271,0.222120931697297,0.145,0.303,1
"NDUFC1",0.0226770893544561,-0.248026091294255,0.271,0.485,1
"FAM204A",0.022691011617736,-0.107271018589159,0.217,0.394,1
"ABCD3",0.0228027218231966,-0.876147667024429,0.03,0.106,1
"ADGRE2",0.0228027218231966,-1.10896680265858,0.03,0.106,1
"TMEM141",0.0228027218231966,-0.583312218008722,0.03,0.106,1
"UROS",0.0228027218231966,-0.872919157630156,0.03,0.106,1
"ZNHIT1",0.0228690109508013,-0.383989201906126,0.163,0.318,1
"PLEKHF2",0.0229231199676843,1.64384478362389,0.319,0.212,1
"NUTM2A-AS1",0.022929530488445,0.160715430794644,0.169,0.333,1
"ISG20L2",0.0229631767809821,-0.218368223979099,0.217,0.409,1
"NBN",0.0229924861010812,-0.176044314106184,0.241,0.439,1
"ANXA2",0.0230383630572386,-0.486297594534964,0.307,0.5,1
"OXR1",0.0230862729275989,-0.420215974087857,0.235,0.424,1
"ACSM3",0.0231104127089046,5.28080880170674,0.102,0.015,1
"GKAP1",0.0231104127089046,3.80805615970795,0.102,0.015,1
"ITPR3",0.0231104127089046,4.09206479273713,0.102,0.015,1
"JUP",0.0231104127089046,3.33499814771193,0.102,0.015,1
"TMEM273",0.0231104127089046,3.40973267038994,0.102,0.015,1
"RTF2",0.0231333838485411,-0.383901727187171,0.229,0.409,1
"SNHG17",0.0231424742096732,-0.84589280511927,0.03,0.106,1
"LAT2",0.0231483671079314,0.926012712947768,0.199,0.076,1
"BOLA2B",0.0232121669778306,-0.403830334943007,0.09,0.212,1
"VWA8",0.0232121669778306,-0.146641230520029,0.09,0.212,1
"ARSB",0.0232259767594663,-0.150744689210277,0.145,0.288,1
"GGPS1",0.0232525324326845,-0.634492317101575,0.066,0.167,1
"MTPAP",0.0232525324326845,-0.700743088559064,0.066,0.167,1
"ANXA4",0.0233528264372637,-0.754816334736185,0.127,0.258,1
"LEMD3",0.0233614407311906,0.226027897582064,0.187,0.379,1
"SMARCA2",0.0233631584178347,-0.304121526815678,0.367,0.606,1
"TAX1BP1",0.0233675133069965,-0.276168506536669,0.44,0.697,1
