"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"POLR2J2",0.775371863810018,0.221749828738544,0.008,0.011,1
"PRG4",0.775371863810018,0.474254617877294,0.008,0.011,1
"RNASEH2A",0.775371863810018,0.419774256337202,0.008,0.011,1
"SDK2",0.775371863810018,0.236720995592685,0.008,0.011,1
"SH3TC2",0.775371863810018,0.324831819494612,0.008,0.011,1
"SWINGN",0.775371863810018,0.483266794714158,0.008,0.011,1
"ENSG00000286790",0.775371863810018,0.122683414695762,0.008,0.011,1
"ZNF684",0.775659123886854,0.200421579626997,0.069,0.063,1
"ATP1B3",0.776199455333192,-0.148505035283391,0.415,0.446,1
"SLC39A3",0.776231077903011,0.511113191674913,0.081,0.077,1
"HSPG2",0.776253348397007,-0.142640455329841,0.06,0.067,1
"MRPS34",0.776399440282762,0.375628185203321,0.29,0.305,1
"TBC1D3L",0.776463147730314,0.588151188840939,0.028,0.025,1
"LLGL2",0.7765397272169,0.141656958531752,0.69,0.737,1
"PCCB",0.776551135384823,0.251646526408472,0.238,0.263,1
"ETFDH",0.776641771280365,0.274210297931452,0.173,0.189,1
"ENSG00000225647",0.776734766360838,-0.614348488996441,0.089,0.081,1
"PTPDC1",0.777327714554349,0.294271977000994,0.065,0.06,1
"HPS4",0.777441755470744,0.157854380387085,0.306,0.347,1
"METAP1",0.777715883744186,0.131152099395828,0.48,0.488,1
"SURF4",0.777766917657306,0.115199841959101,0.387,0.407,1
"ZNF570",0.777820015469974,0.436247688533278,0.121,0.119,1
"BST1",0.777960053525363,0.154956161551329,0.008,0.011,1
"CCL4",0.777960053525363,0.459241074593495,0.008,0.011,1
"CLDN14",0.777960053525363,0.475712878732518,0.008,0.011,1
"ENSG00000233030",0.777960053525363,0.501931614480982,0.008,0.011,1
"ENSG00000235978",0.777960053525363,0.663262119852631,0.008,0.011,1
"ENSG00000254340",0.777960053525363,0.26306397924011,0.008,0.011,1
"ENSG00000254409",0.777960053525363,0.104157733526979,0.008,0.011,1
"ENSG00000258768",0.777960053525363,0.410200455137398,0.008,0.011,1
"ENSG00000261167",0.777960053525363,0.259667656929154,0.008,0.011,1
"ENSG00000267484",0.777960053525363,0.188992669756957,0.008,0.011,1
"ENSG00000270117",0.777960053525363,0.133629524722391,0.008,0.011,1
"ENSG00000284999",0.777960053525363,0.10389385217794,0.008,0.011,1
"ENSG00000285589",0.777960053525363,1.04589861245316,0.008,0.011,1
"ENSG00000285692",0.777960053525363,0.213012677873217,0.008,0.011,1
"ENSG00000288520",0.777960053525363,0.3330745354575,0.008,0.011,1
"ENSG00000288759",0.777960053525363,0.562943494323766,0.008,0.011,1
"ENSG00000289123",0.777960053525363,0.497882645586458,0.008,0.011,1
"ENSG00000289419",0.777960053525363,0.272144005502374,0.008,0.011,1
"ENSG00000289843",0.777960053525363,0.400109863061436,0.008,0.011,1
"ENSG00000290931",0.777960053525363,0.470777714826845,0.008,0.011,1
"ENSG00000290960",0.777960053525363,0.390721833519736,0.008,0.011,1
"KLRB1",0.777960053525363,1.5919062126943,0.008,0.011,1
"LCK",0.777960053525363,0.139007607809384,0.008,0.011,1
"LINC01591",0.777960053525363,0.339048589955322,0.008,0.011,1
"LINC02267",0.777960053525363,0.29037153828512,0.008,0.011,1
"LOXL4",0.777960053525363,0.96456439223003,0.008,0.011,1
"LY6E",0.777960053525363,0.532378102940378,0.008,0.011,1
"NFIB-AS1",0.777960053525363,0.49877912214085,0.008,0.011,1
"NRM",0.777960053525363,0.243727831724032,0.008,0.011,1
"OBI1-AS1",0.777960053525363,0.246550448156651,0.008,0.011,1
"PEF1-AS1",0.777960053525363,0.449230068505859,0.008,0.011,1
"RAVER1",0.777960053525363,0.317652308945969,0.008,0.011,1
"TRAM1L1",0.777960053525363,0.376792120415753,0.008,0.011,1
"ENSG00000258172",0.777960053525363,0.623534301936047,0.008,0.011,1
"ENSG00000258857",0.777960053525363,0.266845870539905,0.008,0.011,1
"LINC02244",0.777960053525363,1.07954405542586,0.008,0.011,1
"MED15P9",0.777960053525363,0.100070273605391,0.008,0.011,1
"RAI14-DT",0.777960053525363,0.535312537536959,0.008,0.011,1
"PDSS1",0.778023412660989,0.693108960084279,0.028,0.025,1
"NPIPA2",0.778037841181979,1.10931018489813,0.056,0.053,1
"ENSG00000263551",0.778436792771259,-0.297711981679835,0.032,0.028,1
"PRKAG2-AS1",0.778651442358616,-0.229875455748802,0.04,0.046,1
"TMEM139",0.77872988407566,0.103076442852626,0.367,0.404,1
